@relation WDF

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute mu2 numeric
@attribute A2 numeric

@data
2229,63,4774.54,4,0,3,2,9,309.380192,255.615792,5,18,2.784064
2230,154,13262.6,9,7,3,2,19,908.296249,697.062281,5,18,11.706624
2231,63,3978.78,5,0,2,2,15,835.389271,456.948395,5,19,3.967416
2233,63,2387.27,14,0,2,2,19,667.567083,383.961321,6,18,6.838082
2234,63,2652.52,10,0,3,2,15,275.953384,292.768299,6,18,3.373913
2235,63,1061.01,1,0,3,2,5,210.457954,267.176284,6,19,2.267716
2236,63,1326.26,5,0,3,2,19,275.765537,251.906366,6,18,2.441542
2237,63,3448.28,3,0,3,2,6,106.941423,98.896015,5,18,2.000353
2238,63,3183.02,3,0,3,2,10,113.666397,78.018811,6,19,1.73527
2239,63,2387.27,4,0,3,2,10,343.974832,286.701849,5,18,4.798151
2240,18,3183.02,1,4,3,3,3,481.261426,386.68671,6,17,4.893269
2241,63,9283.82,4,0,2,2,7,591.701371,462.413202,5,18,4.981203
2242,56,17241.38,3,0,3,2,10,193.914465,149.893515,7,18,1.382387
2253,63,9946.95,9,0,2,2,4,283.085198,277.198974,5,17,3.622569
2254,63,5305.04,2,0,3,2,5,325.665108,285.444337,5,18,4.644399
2267,56,3183.02,3,0,3,2,10,198.11283,173.238682,5,19,3.832454
2269,63,2652.52,9,0,3,2,15,581.982709,532.446502,6,18,7.154137
2270,63,2652.52,5,0,2,2,1,71.71554,95.315163,6,19,1.591941
2271,120,11936.34,8,3,3,2,10,1588.415344,1090.965763,7,19,15.751629
2273,96,5305.04,6,0,3,2,15,608.127221,506.792562,6,17,5.933198
2275,63,5305.04,4,0,3,2,12,253.765777,242.930875,8,18,2.70797
2277,63,0,3,0,2,2,3,112.57765,99.263667,8,18,1.264121
2278,63,3448.28,3,0,2,2,3,99.49073,79.19883,6,18,2.453745
2280,187,31830.24,5,7,2,1,2,762.578207,726.210553,5,19,9.158128
2281,104,5305.04,6,0,2,2,9,315.418174,248.910818,4,18,1.988208
2283,204,8488.06,5,0,2,1,12,996.156207,778.760497,6,21,6.511968
2285,63,5305.04,4,0,2,2,12,485.177581,408.527478,5,17,5.452572
2286,63,9283.82,6,0,3,2,15,693.693262,593.474499,6,17,5.593711
2289,63,2122.02,8,0,3,2,14,434.653033,369.729992,8,18,3.834314
2291,63,2652.52,4,0,3,2,7,623.46176,483.253828,5,17,6.160994
